
".*schwers.r@gmail.com.*"
"Size of Input";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";" "
"DFA: CPUMEAN";"0.17391304347826086";"0.0";"0.17391304347826086";"0.17391304347826086";"0.5217391304347826";"0.6956521739130435";"1.565217391304348";"3.130434782608696";"6.086956521739131";"13.043478260869565";"25.73913043478261";""
"DFA: CPUVARIANCE";"0.665406427221172";"0.0";"0.665406427221172";"0.665406427221172";"1.8147448015122873";"2.298676748582231";"3.8109640831758034";"2.722117202268431";"3.992438563327032";"3.0850661625708886";"5.323251417769376";""
"DFA: REALMEAN";"0.13043478260869565";"0.13043478260869565";"0.08695652173913043";"0.08695652173913043";"0.391304347826087";"0.782608695652174";"1.608695652173913";"3.1739130434782608";"6.3478260869565215";"12.956521739130435";"25.82608695652174";""
"DFA: REALVARIANCE";"0.2003780718336484";"0.2003780718336484";"0.07939508506616257";"0.07939508506616257";"0.2381852551984877";"0.17013232514177692";"0.2381852551984877";"0.14366729678638943";"0.31379962192816635";"2.6502835538752363";"2.23062381852552";""
"DFA: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"DFA: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";""
"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";"Passed";""

".*schwers.r@gmail.com.*"
"Size of Input";"2067";"4115";"8211";"16403";"32787";"65555";"131091";"262163";"524307";"1048595";"2097171";" "
"RGX: CPUMEAN";"0.0";"0.0";"0.17391304347826086";"0.17391304347826086";"0.17391304347826086";"1.0434782608695652";"1.2173913043478262";"2.4347826086956523";"4.695652173913044";"9.91304347826087";"22.08695652173913";""
"RGX: CPUVARIANCE";"0.0";"0.0";"0.665406427221172";"0.665406427221172";"0.665406427221172";"3.0850661625708886";"3.387523629489603";"3.8109640831758034";"3.6899810964083177";"3.992438563327032";"155.6446124763705";""
"RGX: REALMEAN";"0.043478260869565216";"0.043478260869565216";"0.08695652173913043";"0.17391304347826086";"0.30434782608695654";"0.782608695652174";"1.173913043478261";"2.5652173913043477";"4.913043478260869";"10.0";"21.956521739130434";""
"RGX: REALVARIANCE";"0.04158790170132325";"0.04158790170132325";"0.07939508506616257";"0.14366729678638943";"0.21172022684310018";"0.17013232514177692";"0.14366729678638943";"0.24574669187145556";"0.34026465028355385";"0.8695652173913043";"143.6937618147448";""
"RGX: GARBAGEMEAN";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.17391304347826086";"2.782608695652174";""
"RGX: GARBAGEVARIANCE";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.0";"0.665406427221172";"149.47448015122873";""
